wave,name,gender,age,bib
A,Sarah Johnson,female,34,001
A,Michael Chen,male,38,002
B,Mary Jo Van Der Berg,female,46,003
C,Alex Rivera,nonbinary,17,004
C,Isaac Andersen,male,17,005
A,Priya Raman,female,30,006
C,Leading Zero,male,40,007
B,"Siobhan O""Brien",female,35,008
A,Walter Smith,male,46,009
A,Marcus Webb,male,19,010
B,Nia Fletcher,female,18,011
C,Robert Ellery,male,50,012
B,Helen Marsh,female,49,013
A,Riley Petrov,undisclosed,46,014
B,Mateo Smith,male,36,015
A,Riley Mensah,undisclosed,24,016
C,"Tom Smith, Jr.",male,57,017
B,Ana Petrov,female,27,018
B,Carol Dubois,female,43,019
C,Donna Osei,female,11,020
C,Cynthia Harlow,female,35,021
A,James Ferreira,male,31,022
A,Ava Sinclair,female,10,023
C,Marcus Blackwood,male,24,024
B,Theo Cassidy,male,18,025
B,Simon Delacroix-Mbeki,male,35,026
B,Sandra Vance,female,24,027
B,Mateo Ibarra,male,36,028
A,Angela Blackwood,female,41,029
C,Jordan Sundqvist,male,31,030
A,Ines Dubois,female,16,031
A,Elijah Ellery,male,41,032
B,Roger Castillo,male,13,033
B,Jae Hallgren,undisclosed,38,034
C,Ana Okafor,female,25,035
C,Gary Andersen,male,14,036
B,Frank Cassidy,male,9,037
A,Bruce Bianchi,male,47,038
A,Kathleen Okonkwo,female,14,039
B,Andre Ashworth,male,38,040
A,Angela Whitfield,female,36,041
B,Isabella Okafor,female,57,042
B,Dennis Bianchi,male,28,043
C,Wayne Faulkner,male,25,044
C,Owen Okafor,male,15,045
A,Valentina Zero,female,38,046
A,Autumn Okafor,female,40,047
C,Harold Whitmore,male,38,048
B,Tyler Ibarra,male,29,049
C,Naomi O'Brien,female,28,050
C,Leila Webb,female,12,051
B,Ravi Barros,male,75,052
B,Quinn Kowalczyk,nonbinary,28,053
C,Adrian Pemberton,male,33,054
B,Owen Harlow,male,11,055
C,Cynthia Hallgren,female,32,056
B,Sophia Rourke,female,41,057
C,Autumn Vance,female,53,058
A,Tyler Webb,male,23,059
B,Harold Okonkwo,male,15,060
C,Stella Kowalski,female,45,061
B,Isaac Park,male,73,062
C,Alice Ashby,female,43,063
B,Olivia Zero,female,44,064
B,James Kim,male,59,065
B,Jasmine Rourke,female,40,066
C,Sandra Moreau,female,17,067
C,Jordan Ibarra,male,14,068
B,Amara Barros,female,10,069
A,Dominic Bianchi,male,12,070
A,Wayne Dubois,male,21,071
A,Ines Fairweather,female,36,072
C,Nora Castillo,female,72,073
B,Quinn Andersen,nonbinary,29,074
C,Harold Pemberton,male,32,075
A,Carlos Ferreira,male,16,076
C,Dennis Rourke,male,15,077
B,James Hollis,male,37,078
C,Diego Rutherford,male,65,079
C,Dominic Rourke,male,19,080
C,Ronald Lindqvist,male,19,081
B,Miguel Harlow,male,34,082
A,Quinn Vance,undisclosed,26,083
A,Sam Sundqvist,male,22,084
C,Nia Novak,female,65,085
B,Aaliyah Osei,female,38,086
A,Dennis Vance,male,22,087
C,Noah Zero,male,34,088
A,Luna Fletcher,female,34,089
A,Kevin Whitmore,male,58,090
A,Nia Kowalski,female,44,091
B,Joan Blackwood,female,71,092
B,Ronald Mensah,male,44,093
B,Sandra Ellery,female,38,094
C,Carol Andersen,female,35,095
B,Diane Kestrel,female,64,096
B,Wayne Lindgren,male,36,097
C,Aaliyah Ibarra,female,61,098
B,William Bianchi,male,12,099
B,Sandra Park,female,20,100
