bib,name,wave,age,gender
001,Sarah Johnson,A,34,female
002,Michael Chen,A,38,male
003,Mary Jo Van Der Berg,B,46,female
004,Alex Rivera,C,17,nonbinary
005,Isaac Andersen,C,17,male
006,Priya Raman,A,30,female
007,Leading Zero,C,40,male
008,"Siobhan O""Brien",B,35,female
009,Walter Smith,A,46,male
010,Marcus Webb,A,19,male
011,Nia Fletcher,B,18,female
012,Robert Ellery,C,50,male
013,Helen Marsh,B,49,female
014,Riley Petrov,A,46,undisclosed
015,Mateo Smith,B,36,male
016,Riley Mensah,A,24,undisclosed
017,"Tom Smith, Jr.",C,57,male
018,Ana Petrov,B,27,female
019,Carol Dubois,B,43,female
020,Donna Osei,C,11,female
021,Cynthia Harlow,C,35,female
022,James Ferreira,A,31,male
023,Ava Sinclair,A,10,female
024,Marcus Blackwood,C,24,male
025,Theo Cassidy,B,18,male
026,Simon Delacroix-Mbeki,B,35,male
027,Sandra Vance,B,24,female
028,Mateo Ibarra,B,36,male
029,Angela Blackwood,A,41,female
030,Jordan Sundqvist,C,31,male
031,Ines Dubois,A,16,female
032,Elijah Ellery,A,41,male
033,Roger Castillo,B,13,male
034,Jae Hallgren,B,38,undisclosed
035,Ana Okafor,C,25,female
036,Gary Andersen,C,14,male
037,Frank Cassidy,B,9,male
038,Bruce Bianchi,A,47,male
039,Kathleen Okonkwo,A,14,female
040,Andre Ashworth,B,38,male
041,Angela Whitfield,A,36,female
042,Isabella Okafor,B,57,female
043,Dennis Bianchi,B,28,male
044,Wayne Faulkner,C,25,male
045,Owen Okafor,C,15,male
046,Valentina Zero,A,38,female
047,Autumn Okafor,A,40,female
048,Harold Whitmore,C,38,male
049,Tyler Ibarra,B,29,male
050,Naomi O'Brien,C,28,female
051,Leila Webb,C,12,female
052,Ravi Barros,B,75,male
053,Quinn Kowalczyk,B,28,nonbinary
054,Adrian Pemberton,C,33,male
055,Owen Harlow,B,11,male
056,Cynthia Hallgren,C,32,female
057,Sophia Rourke,B,41,female
058,Autumn Vance,C,53,female
059,Tyler Webb,A,23,male
060,Harold Okonkwo,B,15,male
061,Stella Kowalski,C,45,female
062,Isaac Park,B,73,male
063,Alice Ashby,C,43,female
064,Olivia Zero,B,44,female
065,James Kim,B,59,male
066,Jasmine Rourke,B,40,female
067,Sandra Moreau,C,17,female
068,Jordan Ibarra,C,14,male
069,Amara Barros,B,10,female
070,Dominic Bianchi,A,12,male
071,Wayne Dubois,A,21,male
072,Ines Fairweather,A,36,female
073,Nora Castillo,C,72,female
074,Quinn Andersen,B,29,nonbinary
075,Harold Pemberton,C,32,male
076,Carlos Ferreira,A,16,male
077,Dennis Rourke,C,15,male
078,James Hollis,B,37,male
079,Diego Rutherford,C,65,male
080,Dominic Rourke,C,19,male
081,Ronald Lindqvist,C,19,male
082,Miguel Harlow,B,34,male
083,Quinn Vance,A,26,undisclosed
084,Sam Sundqvist,A,22,male
085,Nia Novak,C,65,female
086,Aaliyah Osei,B,38,female
087,Dennis Vance,A,22,male
088,Noah Zero,C,34,male
089,Luna Fletcher,A,34,female
090,Kevin Whitmore,A,58,male
091,Nia Kowalski,A,44,female
092,Joan Blackwood,B,71,female
093,Ronald Mensah,B,44,male
094,Sandra Ellery,B,38,female
095,Carol Andersen,C,35,female
096,Diane Kestrel,B,64,female
097,Wayne Lindgren,B,36,male
098,Aaliyah Ibarra,C,61,female
099,William Bianchi,B,12,male
100,Sandra Park,B,20,female
